CR_TITLE,CR_URL,CR_MATERIAL_TYPE,CR_Media_Formats,CR_ABSTRACT,CR_LANGUAGE,CR_COU_TITLE,CR_PRIMARY_USER,CR_SUBJECT,CR_KEYWORDS,CR_AUTHOR_NAME,CR_PROVIDER,CR_PROVIDER_SET,CR_COU_URL,CR_COU_COPYRIGHT_HOLDER,CR_EDUCATIONAL_USE,CR_ACCESSIBILITY
Information and Communication Technology in Africa,https://live-qa.ocw.mit.edu/courses/es-259-information-and-communication-technology-in-africa-spring-2006,Full Course,Text/HTML,"This is a discussion-based, interactive seminar on the development of information and communication technology in Sub-Saharan Africa. The students will seek to understand the issues surrounding designing and instituting policy, and explore the possible ways in which they can make an impact on information and communication technology in Africa.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Engineering|Cultural Geography|Electronic Technology|Social Science|Business and Communication,Telecommunications|Business|The Developing World|Society|Electrical Engineering|Engineering|Information Technology,"Bobbili, Raja|Miyagawa, Shigeru",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Astrodynamics,https://live-qa.ocw.mit.edu/courses/16-346-astrodynamics-fall-2008,Full Course,Text/HTML,"This course covers the fundamentals of astrodynamics, focusing on the two-body orbital initial-value and boundary-value problems with applications to space vehicle navigation and guidance for lunar and planetary missions, including both powered flight and midcourse maneuvers. Other topics include celestial mechanics, Kepler's problem, Lambert's problem, orbit determination, multi-body methods, mission planning, and recursive algorithms for space navigation. Selected applications from the Apollo, Space Shuttle, and Mars exploration programs are also discussed.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Engineering|Astronomy,Guidance and Control Systems|Astrodynamics|Engineering|Aerospace Engineering,"Battin, Richard",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Science Writing and New Media,https://live-qa.ocw.mit.edu/courses/21w-732-science-writing-and-new-media-fall-2010,Full Course,Text/HTML,"This course introduces writing, graphics, meetings, oral presentation, collaboration, and design as tools for product development. The communication instruction is embedded in design projects that require students to work in teams to conceive, design, prototype and evaluate energy related products. The communication instruction focuses on the communication tasks that are integral to this design process, ranging, across design notebooks, email communications, informal oral presentations, meeting etiquette, literature searches, white papers reports, and formal presentations. In addition to the assignments specific to product development, a few assignments, especially reading and reflection, will address the cultural situation of engineers and engineering in the world at large.
Acknowledgment
The instructors would like to thank Prof. Alex Slocum and Mark Graham for their contributions to this course.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Literature|Composition and Rehtoric|Graphic Design|Business and Communication|Social Science|Communication|Graphic Arts,Project Management|Social Science|Humanities|Technical Writing|Business|Literature|Nonfiction Prose|Communication|Media Studies|Digital Media|Academic Writing|Fine Arts,"Custer, David|Page, Elizabeth",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment|Professional Development,Visual|Textual
"History of Western Thought, 500-1300",https://live-qa.ocw.mit.edu/courses/21h-411-history-of-western-thought-500-1300-fall-2004,Full Course,Text/HTML,"This course examines the development of the western intellectual tradition from the fall of the Roman Empire through the High Middle Ages. Our basic premise will be that the triumph of Christianity in the west was not the inevitable outcome it might appear from hindsight. Our attention will therefore be focused not only on the development of Christian thought and practice, but on its challengers as well. The core themes of the course include the emergence of a uniform Christian orthodoxy in late antiquity; the development of monastic practice and its attendant intellectual traditions; and the geographical spread of Christian beliefs. Working in opposition to those trends were other forces, which we will also address in our readings. In particular, we will consider the persistence of northern paganism; the rise of Islam; the solidification of a separate Byzantine orthodoxy; indigenous heretical movements; and the ambiguous position of Jews in all of European society.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Religious Studies|Arts and Humanities|Ancient History|History|World History,Religion|Medieval History|Humanities|History|Intellectual History|European History,"McCants, Anne",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Design for the Theater: Scenery,https://live-qa.ocw.mit.edu/courses/21m-734-design-for-the-theater-scenery-spring-2005,Full Course,Text/HTML,"This course will examine theory of scenic design as currently practiced, as well as historical traditions for use of performance space and audience/performer engagement. Four play scripts and one opera or dance theater piece will be designed after in-depth analysis; emphasis will be on the social, political and cultural milieu at the time of their creation, and now.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Performing Arts,Theatrical Design|Performance Arts|Fine Arts,"Fregosi, William",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Leadership Lab,https://live-qa.ocw.mit.edu/courses/15-974-leadership-lab-spring-2003,Full Course,Text/HTML,"This five-day interactive and experiential workshop focuses on how leaders lead innovations that both promote social responsibility and produce business success. The workshop is organized around three main parts: observation, sense-making, and creating. During the observation phase, students spend a full day inside the Boston office of the design company IDEO and visit some of the most interesting proven innovators in corporate social responsibility such as Ben & Jerry’s, KLD, MBDC, Plug Power (fuel cell technology), PwC, Schlumberger, or core team members of the UN Global Compact. After returning from their company visits, students describe to one another what they saw and learned. In the final part of the Lab, students conceive and implement innovation projects that serve the needs of a local community. Each team presents its practical accomplishments on the final day of the Lab. Starting in 2004 this course will be renumbered as 15.975.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Business and Communication|Management|Business Ethicates,Organizational Behavior|Leadership|Business|Business Ethics|Innovation,"Scharmer, Claus",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Electromagnetic Interactions,https://live-qa.ocw.mit.edu/courses/22-105-electromagnetic-interactions-fall-2005,Full Course,Text/HTML,"This course is a graduate level subject on electromagnetic theory with particular emphasis on basics and applications to Nuclear Science and Engineering. The basic topics covered include electrostatics, magnetostatics, and electromagnetic radiation. The applications include transmission lines, waveguides, antennas, scattering, shielding, charged particle collisions, Bremsstrahlung radiation, and Cerenkov radiation.
Acknowledgments
Professor Freidberg would like to acknowledge the immense contributions made to this course by its previous instructors, Ian Hutchinson and Ron Parker.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Physical Science|Engineering|Environmental Science|Physics,Science|Nuclear Physics|Physics|Engineering|Electromagnetism|Nuclear Engineering,"Freidberg, Jeffrey",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Sailing Yacht Design (13.734),https://live-qa.ocw.mit.edu/courses/2-996-sailing-yacht-design-13-734-fall-2003,Full Course,Text/HTML,"This subject teaches students, having an initial interest in sailing design, how to design good yachts. Topics covered include hydrostatics, transverse stability, and the incorporation of the design spiral into one's working methods. Computer aided design (CAD) is used to design the shapes of hulls, appendages and decks, and is an important part of this course. The capstone project in this course is the Final Design Project in which each student designs a sailing yacht, complete in all major respects.
The central material for this subject is the content of the book Principals of Yacht Design by Larssson and Eliasson (see further description in the syllabus). All the class lectures are based on the material in this book. The figures in the book which are shown in class (but not reproduced on this site), contain the essential material and their meaning is explained in detail during the lecture sessions. Mastery of the material in the book and completing a design project provides the desired and needed education.
This course was originally offered in Course 13 (Department of Ocean Engineering) as 13.734. In 2005, ocean engineering subjects became part of Course 2 (Department of Mechanical Engineering), and this course was renumbered 2.996.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Oceanography|Engineering,Ocean Engineering|Mechanical Design|Mechanical Engineering|Engineering,"Milgram, Jerome",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Adaptive Antennas and Phased Arrays,https://live-qa.ocw.mit.edu/courses/res-ll-002-adaptive-antennas-and-phased-arrays-spring-2010,Full Course,Text/HTML,"The 16 lectures in this course cover the topics of adaptive antennas and phased arrays. Both theory and experiments are covered in the lectures. Part one (lectures 1 to 7) covers adaptive antennas. Part two (lectures 8 to 16) covers phased arrays. Parts one and two can be studied independently (in either order). The intended audience for this course is primarily practicing engineers and students in electrical engineering. This course is presented by Dr. Alan J. Fenn, senior staff member at MIT Lincoln Laboratory.
Online Publication",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Electronic Technology|Physical Science|Engineering|Physics,Science|Signal Processing|Electrical Engineering|Electronics|Physics|Engineering|Electromagnetism,"Fenn, Alan",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Urban Transportation Planning,https://live-qa.ocw.mit.edu/courses/1-252j-urban-transportation-planning-fall-2016,Full Course,Text/HTML,"This course examines the policy, politics, planning, and engineering of transportation systems in urban areas, with a special focus on the Boston area. It covers the role of the federal, state, and local government and the MPO, public transit in the era of the automobile, analysis of current trends and pattern breaks; analytical tools for transportation planning, traffic engineering, and policy analysis; the contribution of transportation to air pollution, social costs, and climate change; land use and transportation interactions, and more. Transportation sustainability is a central theme throughout the course, as well as consideration of if and how it is possible to resolve the tension between the three E's (environment, economy, and equity). The goal of this course is to elicit discussion, stimulate independent thinking, and encourage students to understand and challenge the ""conventional wisdom"" of transportation planning.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Engineering|Political Science,Urban Studies|Transportation Planning|Social Science|Civil Engineering|Public Policy|Urban Planning|Engineering|Public Administration|Transportation Engineering,"Salvucci, Frederick",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Professional Development,Visual|Textual
Civil-Military Relations,https://live-qa.ocw.mit.edu/courses/17-584-civil-military-relations-spring-2003,Full Course,Text/HTML,"This course centers on mechanisms of civilian control of the military. Relying on the influential texts of Lasswell, Huntington, and Finer, the first classes clarify the basic tensions between the military and civilians. A wide-ranging series of case studies follows. These cases are chosen to create a field of variation that includes states with stable civilian rule, states with stable military influence, and states exhibiting fluctuations between military and civilian control. The final three weeks of the course are devoted to the broader relationship between military and society.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Political Science|Arts and Humanities|Philosophy,Social Science|Humanities|Philosophy|Political Science|Comparative Politics|Military Studies|Security Studies|Political Philosophy|Public Administration,"Petersen, Roger",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Entrepreneurial Marketing,https://live-qa.ocw.mit.edu/courses/15-835-entrepreneurial-marketing-spring-2002,Full Course,Text/HTML,"This course clarifies key marketing concepts, methods, and strategic issues relevant for start-up and early-stage entrepreneurs. At this course, there are two major questions:

Marketing Question: What and how am I selling to whom?
New Venture Question: How do I best leverage my limited marketing recourses?

Specifically, this course is designed to give students a broad and deep understanding of such topics as:

What are major strategic constraints and issues confronted by entrepreneurs today?
How can one identify and evaluate marketing opportunities?
How do entrepreneurs achieve competitive advantages given limited marketing resources?
What major marketing/sales tools are most useful in an entrepreneurial setting?

Because there is no universal marketing solution applicable to all entrepreneurial ventures, this course is designed to help students develop a flexible way of thinking about marketing problems in general.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Business and Communication|Marketing,Business|Marketing|Entrepreneurship,"Kim, Jin",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
"Integration of Reactor Design, Operations, and Safety",https://live-qa.ocw.mit.edu/courses/22-39-integration-of-reactor-design-operations-and-safety-fall-2006,Full Course,Text/HTML,"This course integrates studies of engineering sciences, reactor physics and safety assessment into nuclear power plant design. Topics include materials issues in plant design and operations, aspects of thermal design, fuel depletion and fission-product poisoning, and temperature effects on reactivity, safety considerations in regulations and operations, such as the evolution of the regulatory process, the concept of defense in depth, General Design Criteria, accident analysis, probabilistic risk assessment, and risk-informed regulations.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Engineering|Physics|Economics|Environmental Science|Political Science|Physical Science|Environmental Studies,"Science|Nuclear Physics|Nuclear Materials|Physics|Nuclear|Engineering|Energy|Nuclear Systems, Policy, and Economics|Nuclear Engineering","Apostolakis, George|Ballinger, Ronald|Kadak, Andrew|Todreas, Neil",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
"Dr. Martin Luther King, Jr. IAP Design Seminar",https://live-qa.ocw.mit.edu/courses/17-922-dr-martin-luther-king-jr-iap-design-seminar-january-iap-2013,Full Course,Text/HTML,"This seminar facilitates the design and construction of installations and other community projects in conjunction with and beyond MIT's celebration of Dr. Martin Luther King, Jr.
During the first half of the class, MIT and Wellesley students develop in-depth understanding of the history of US racial issues as well as past and present domestic and international political struggles. In the second half, the students work as a group to complete the installations and projects which serve as models for connecting academics with real life problems and struggle.
This seminar is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Arts and Humanities|Sociology|History,Social Science|Humanities|African American Studies|Society|History|Social Justice|Sociology|Fine Arts,"Weiner, Tobie",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Medieval Economic History in Comparative Perspective,https://live-qa.ocw.mit.edu/courses/21h-134j-medieval-economic-history-in-comparative-perspective-spring-2012,Full Course,Text/HTML,"This course will survey the conditions of material life and changing social and economic conditions in medieval Europe with reference to the comparative context of contemporary Islamic, Chinese, and central Asian experiences. Subject covers the emergence and decline of feudal institutions, the transformation of peasant agriculture, living standards and the course of epidemic disease, and the ebb and flow of long-distance trade across the Eurasian system. Particular emphasis will be placed on the study of those factors, both institutional and technological, which have contributed to the emergence of capitalist organization and economic growth in Western Europe in contrast to the trajectories followed by the other major medieval economies.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Ancient History|World History|Arts and Humanities|History,Medieval History|Humanities|Comparative History|History|European History|Asian History,"McCants, Anne",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment|Professional Development,Visual|Textual
Finite Element Analysis of Solids and Fluids I,https://live-qa.ocw.mit.edu/courses/2-092-finite-element-analysis-of-solids-and-fluids-i-fall-2009,Full Course,Text/HTML,"This course introduces finite element methods for the analysis of solid, structural, fluid, field, and heat transfer problems. Steady-state, transient, and dynamic conditions are considered. Finite element methods and solution procedures for linear and nonlinear analyses are presented using largely physical arguments. The homework and a term project (for graduate students) involve use of the general purpose finite element analysis program ADINA. Applications include finite element analyses, modeling of problems, and interpretation of numerical results.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Mathematics|Engineering,Fluid Mechanics|Solid Mechanics|Differential Equations|Engineering|Mathematics|Mathematical Analysis|Mechanical Engineering|Applied Mathematics,"Bathe, Klaus-Jürgen",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Molecular Biology,https://live-qa.ocw.mit.edu/courses/7-28-molecular-biology-spring-2005,Full Course,Text/HTML,"This course covers a detailed analysis of the biochemical mechanisms that control the maintenance, expression, and evolution of prokaryotic and eukaryotic genomes. The topics covered in lectures and readings of relevant literature include gene regulation, DNA replication, genetic recombination, and mRNA translation. In particular, the logic of experimental design and data analysis is emphasized.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Biology|Physical Science,Science|Biology|Molecular Biology|Biochemistry,"Baker, Tania|Faculty, Biology Department",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Cell Biology: Structure and Functions of the Nucleus,https://live-qa.ocw.mit.edu/courses/7-60-cell-biology-structure-and-functions-of-the-nucleus-spring-2010,Full Course,Text/HTML,"The goal of this course is to teach both the fundamentals of nuclear cell biology as well as the methodological and experimental approaches upon which they are based. Lectures and class discussions will cover the background and fundamental findings in a particular area of nuclear cell biology. The assigned readings will provide concrete examples of the experimental approaches and logic used to establish these findings. Some examples of topics include genome and systems biology, transcription, and gene expression.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Biology|Physical Science,Cell Biology|Science|Biology,"Sharp, Phillip|Young, Richard",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Sensing Place: Photography as Inquiry,https://live-qa.ocw.mit.edu/courses/11-309j-sensing-place-photography-as-inquiry-fall-2012,Full Course,Text/HTML,"This course explores photography as a disciplined way of seeing or investigating urban landscapes, and expressing ideas. Readings, observations, and photographs form the basis of discussions on light, detail, place, poetics, narrative, and how photography can inform design and planning.
The current version of the class website for the course can be found here: Sensing Place: Photography as Inquiry.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Visual Arts|Arts and Humanities|Architecture and Design,Urban Studies|Social Science|Environmental Design|Architecture|Photography|Visual Arts|Urban Planning|Fine Arts,"Spirn, Anne",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual|Auditory|Caption|Transcript
"Optical Signals, Devices, and Systems",https://live-qa.ocw.mit.edu/courses/6-637-optical-signals-devices-and-systems-spring-2003,Full Course,Text/HTML,"6.637 covers the fundamentals of optical signals and modern optical devices and systems from a practical point of view. Its goal is to help students develop a thorough understanding of the underlying physical principles such that device and system design and performance can be predicted, analyzed, and understood.
Most optical systems involve the use of one or more of the following: sources (e.g., lasers and light-emitting diodes), light modulation components (e.g., liquid-crystal light modulators), transmission media (e.g., free space or fibers), photodetectors (e.g., photodiodes, photomultiplier tubes), information storage devices (e.g., optical disk), processing systems (e.g., imaging and spatial filtering systems) and displays (LCOS microdisplays). These are the topics covered by this course.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Electronic Technology|Physical Science|Engineering|Physics,"Science|Signal Processing|Electrical Engineering|Electronics|Physics|Engineering|Atomic, Molecular, Optical Physics","Warde, Cardinal",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Field Seminar in Comparative Politics,https://live-qa.ocw.mit.edu/courses/17-588-field-seminar-in-comparative-politics-fall-2013,Full Course,Text/HTML,"This course provides an introduction to the field of comparative politics. Readings include both classic and recent materials. Discussions include research design and research methods, in addition to topics such as political culture, social cleavages, the state, and democratic institutions. The emphasis on each issue depends in part on the interests of the students.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Political Science,Political Science|Comparative Politics|Social Science,"Lawson, Chappell",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment|Professional Development,Visual|Textual
Causes of War: Theory and Method,https://live-qa.ocw.mit.edu/courses/17-432-causes-of-war-theory-and-method-fall-2003,Full Course,Text/HTML,"This course explores the causes of modern war with a focus on preventable causes. Course readings cover theoretical, historical, and methodological topics. Major theories of war are explored and assessed in the first few weeks of the class, asking at each stage ""are these good theories?"" and ""how could they be tested?"" Basic social scientific inference -- what are theories? What are good theories? How should theories be framed and tested? -- and case study methodology are also discussed. The second half of the course explores the history of the outbreak of some major wars. We use these cases as raw material for case studies, asking ""if these episodes were the subject of case studies, how should those studies be performed, and what could be learned from them?""",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Political Science|Arts and Humanities|History,Military History|Social Science|Humanities|Political Science|History|Military Studies|Security Studies|Public Administration|International Relations,"Van Evera, Stephen",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
"Food, Culture & Politics",https://live-qa.ocw.mit.edu/courses/21a-155-food-culture-politics-fall-2019,Full Course,Text/HTML,"This course explores connections between what we eat and who we are through cross-cultural study of how personal and collective identities, social relations, and economic inequalities are formed and maintained via practices of food production, preparation, and consumption. Discussions are organized around critical discussion of what makes ""good"" food good (tasty, healthy, authentic, ethical, etc.), and draw on anthropological studies as well as recent writing and films on the politics of food and agriculture. A primary goal of the course is to provide students with conceptual tools to understand and evaluate food systems at local and global levels. Instruction and practice in written and oral communication is provided.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Anthropology,Anthropology|Social Anthropology|Cultural Anthropology|Social Science,"Paxson, Heather",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Introduction to Fiction,https://live-qa.ocw.mit.edu/courses/21l-003-introduction-to-fiction-spring-2002,Full Course,Text/HTML,"This course investigates the uses and boundaries of fiction in a range of novels and narrative styles, traditional and innovative, western and non-western, and raises questions about the pleasures and meanings of verbal texts in different cultures, times, and forms.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Literature|Reading Literature,Humanities|Literature|Fiction|Criticism|Comparative Literature,"Eiland, Howard|Fox, Elizabeth",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Universal Random Structures in 2D,https://live-qa.ocw.mit.edu/courses/18-177-universal-random-structures-in-2d-fall-2015,Full Course,Text/HTML,"This graduate-level course introduces students to some fundamental 2D random objects, explains how they are related to each other, and explores some open problems in the field.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Statistics and Probability|Mathematics|Geometry,Probability and Statistics|Topology and Geometry|Mathematics|Mathematical Analysis,"Sheffield, Scott",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
"Global Entrepreneurship Lab: Latin America, the Middle East, and Africa",https://live-qa.ocw.mit.edu/courses/15-389b-global-entrepreneurship-lab-latin-america-the-middle-east-and-africa-fall-2010,Full Course,Text/HTML,"15.389B Global Entrepreneurship Lab: Latin America, the Middle East, and Africa enables teams of students to work with the top management of global start-ups and gain experience in running, and consulting to, a new enterprise outside the United States. The focus is on start-ups operating in emerging markets throughout the world, with a special focus on Latin America, the Middle East, and Africa. The course combines an internship in a growing firm with in-class discussions of the issues and policies that affect the climate for innovation and start-up success around the world.
Special Features
15.389B is part of a two-section course and includes materials that cover entrepreneurship in Latin America, the Middle East, and Africa. 15.389A Global Entrepreneurship Lab: Asia-Pacific is also available on OpenCourseWare and covers topics pertinent to these additional regions.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Business and Communication|Social Science|Economics,Social Science|Business|Entrepreneurship|Economics|Globalization|Industrial Organization,"Huang, Yasheng|Jester, Michellana|Johnson, Simon",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Geodynamics Seminar,https://live-qa.ocw.mit.edu/courses/12-753-geodynamics-seminar-spring-2005,Full Course,Text/HTML,"In this year's seminar, we will embark on a scientific journey through some of the most controversial topics about the origin and formation of our home planet. This journey will take us to other planetary bodies - even to other solar systems - as we immerse ourselves in observations and theories from the microscopic to the universe scale.
The seminar will be organized around three broad questions: How was the Earth formed? What did early Earth look like? When did living organisms first appear on Earth?
Experts in meteorites, geology of other planets, thermodynamics and tracers of living organisms, and theories of formation and evolution of planets, including early atmosphere and oceans, will come to WHOI and help us address these questions.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Physical Science|Physical Geology|Atmospheric Science,Geology|Science|Planetary Science|Geophysics|Earth Science,"Gaetani, Glenn|Montesi, Laurent",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Experiencing Architecture Studio,https://live-qa.ocw.mit.edu/courses/4-101-experiencing-architecture-studio-spring-2003,Full Course,Text/HTML,"This course uses scale models to design environments that orchestrate contrasting material properties and conventional constructional systems to create places that foster specific ways of inhabiting space. It also demonstrates how architecture differs from other forms of design. Intended for students to test aptitude for architectural design and to experience an unfamiliar mode of thought, it's conducted in a studio format, with lectures on architectural theory and history, and structured for students with no previous experience in design.
Required of Architecture majors.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Architecture and Design|Arts and Humanities,Architectural Design|Architecture|Fine Arts|Architectural History and Criticism,"Hubbard, William",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Mathematical Statistics,https://live-qa.ocw.mit.edu/courses/18-655-mathematical-statistics-spring-2016,Full Course,Text/HTML,"This course provides students with decision theory, estimation, confidence intervals, and hypothesis testing. It introduces large sample theory, asymptotic efficiency of estimates, exponential families, and sequential analysis.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Mathematics|Information Science|Computer Science|Social Science|Statistics and Probability,Probability and Statistics|Mathematics|Social Science|Game Theory,"Kempthorne, Peter",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Negotiation and Conflict Management,https://live-qa.ocw.mit.edu/courses/15-667-negotiation-and-conflict-management-spring-2001,Full Course,Text/HTML,"Negotiation and Conflict Management presents negotiation theory – strategies and styles – within an employment context. 15.667 meets only eleven times, with a different topic each week, which is why students should commit to attending all classes. In addition to the theory and exercises presented in class, students practice negotiating with role-playing simulations that cover a range of topics. Students also learn how to negotiate in difficult situations, which include abrasiveness, racism, sexism, whistle-blowing, and emergencies. The course covers conflict management as a first party and as a third party: third-party skills include helping others deal directly with their conflicts, mediation, investigation, arbitration, and helping the system change as a result of a dispute.
Learning and grading in 15.667 is based on: readings, simulations and class discussions, four self-assessments, your analysis of the negotiations of others, writing each week in your journal, and writing three Little Papers.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Management|Public Relations|Business Ethicates|Business and Communication|Social Science|Communication,Social Science|Business|Business Ethics|Communication|Industrial Relations and Human Resource Management|Management,"Rowe, Mary",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment|Professional Development,Visual|Textual
Urban Development in Conflict Cities: Planning Challenges and Policy Innovations,https://live-qa.ocw.mit.edu/courses/11-488-urban-development-in-conflict-cities-planning-challenges-and-policy-innovations-fall-2015,Full Course,Text/HTML,"Economic, religious, gender, and ethnic differences must be negotiated every day in the urban arena. When tensions and conflict escalate into violence, the urban space becomes the battlespace in which these tensions are negotiated. This course examines urban development challenges in conflict cities through multiple disciplinary perspectives on urban conflict. This course also reviews literature that focuses on when violence and cities intersect. Students will learn about policy innovations, and study potential planning, design, and policy solutions.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Religious Studies|Arts and Humanities|Cultural Geography|Political Science|Social Science,Religion|Urban Studies|Regional Planning|Social Science|Humanities|The Developing World|Public Policy|Society|Regional Politics|Urban Planning|Global Poverty|Military Studies|Public Administration,"Samper, Jota",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
